OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0542,EL JARO CREEK,River/Stream,"XLON_DD=""-120.359444"";XLAT_DD=""34.548889"";STRAHLER=""3"";ST_ORDER=""3rd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2000"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2000"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2000"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""S"";WSAREA=""55.0774"";ECO3=""6"";ECO3_NM=""SOUTHERN AND CENTRAL CALIFORNIA CHAPARRAL AND OAK"";ECOWSA9=""XER"";ECOWSA3=""WMTNS"";NAECO3=""11.1.1"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.55085,-120.35832,,,,GPS-Unspecified,WGS84,146,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0677,ALAMO PINTADO,River/Stream,"XLON_DD=""-120.055278"";XLAT_DD=""34.746944"";STRAHLER=""3"";ST_ORDER=""3rd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2002"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2002"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2002"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""R"";WSAREA=""19.6765"";ECO3=""6"";ECO3_NM=""SOUTHERN AND CENTRAL CALIFORNIA CHAPARRAL AND OAK"";ECOWSA9=""XER"";ECOWSA3=""WMTNS"";NAECO3=""11.1.1"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.7477,-120.05303,,,,GPS-Unspecified,WGS84,458,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0779,COCHE CREEK,River/Stream,"XLON_DD=""-119.757222"";XLAT_DD=""34.669722"";STRAHLER=""2"";ST_ORDER=""2nd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2001"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2001"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2001"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""R"";WSAREA=""8.0566"";ECO3=""8"";ECO3_NM=""SOUTHERN CALIFORNIA MOUNTAINS"";ECOWSA9=""WMT"";ECOWSA3=""WMTNS"";NAECO3=""11.1.3"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.66959,-119.75404,,,,GPS-Unspecified,WGS84,853,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0785,UNNAMED CREEK,River/Stream,"XLON_DD=""-120.515278"";XLAT_DD=""34.675"";STRAHLER=""3"";ST_ORDER=""3rd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2001"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2001"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2001"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""T"";WSAREA=""21.4386"";ECO3=""6"";ECO3_NM=""SOUTHERN AND CENTRAL CALIFORNIA CHAPARRAL AND OAK"";ECOWSA9=""XER"";ECOWSA3=""WMTNS"";NAECO3=""11.1.1"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.67473,-120.51417,,,,GPS-Unspecified,WGS84,11,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0796,SANTA CRUZ CREEK,River/Stream,"XLON_DD=""-119.795833"";XLAT_DD=""34.684722"";STRAHLER=""1"";ST_ORDER=""0-1st"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2001"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2001"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2001"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""R"";WSAREA=""2.4914"";ECO3=""8"";ECO3_NM=""SOUTHERN CALIFORNIA MOUNTAINS"";ECOWSA9=""WMT"";ECOWSA3=""WMTNS"";NAECO3=""11.1.3"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.68351,-119.79875,,,,GPS-Unspecified,WGS84,1146,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-0898,NOJOQUI CREEK,River/Stream,"XLON_DD=""-120.195"";XLAT_DD=""34.591667"";STRAHLER=""3"";ST_ORDER=""3rd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2001"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2001"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2001"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""S"";WSAREA=""39.1339"";ECO3=""6"";ECO3_NM=""SOUTHERN AND CENTRAL CALIFORNIA CHAPARRAL AND OAK"";ECOWSA9=""XER"";ECOWSA3=""WMTNS"";NAECO3=""11.1.1"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.59402,-120.19376,,,,GPS-Unspecified,WGS84,129,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-1046,KELLY CREEK,River/Stream,"XLON_DD=""-119.834444"";XLAT_DD=""34.533889"";STRAHLER=""2"";ST_ORDER=""2nd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2002"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2002"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2002"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""R"";WSAREA=""8.9701"";ECO3=""6"";ECO3_NM=""SOUTHERN AND CENTRAL CALIFORNIA CHAPARRAL AND OAK"";ECOWSA9=""XER"";ECOWSA3=""WMTNS"";NAECO3=""11.1.1"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.5365,-119.83603,,,,GPS-Unspecified,WGS84,315,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-WCAP99-1102,CACHUMA CREEK,River/Stream,"XLON_DD=""-119.910556"";XLAT_DD=""34.695"";STRAHLER=""3"";ST_ORDER=""3rd"";FLOWSITE=""WADEABLE"";SITETYPE=""WESTPROB"";XSTATUS=""SAMPLEABLE"";VALXSTAT=""WADEABLE"";TNT=""T"";STRATUM=""CA"";INDXVIS_EXTENT=""YES"";SAMPCHEM=""YES"";INDXVIS_CHEM=""YES"";INDEXYR_CHEM=""2003"";INDEXVIS_CHEM=""1"";SAMPBENT=""YES"";INDEX_SAMPTYPE=""REACHWIDE"";INDEXYR_BENT=""2003"";INDEXVIS_BENT=""1"";INDXVIS_BENT=""YES"";SAMPPHAB=""YES"";INDXVIS_PHAB=""YES"";INDEXYR_PHAB=""2003"";INDEXVIS_PHAB=""1"";EPAREGION=""REGION__9"";WESTEAST=""WEST"";RT_WSA=""S"";WSAREA=""12.5948"";ECO3=""8"";ECO3_NM=""SOUTHERN CALIFORNIA MOUNTAINS"";ECOWSA9=""WMT"";ECOWSA3=""WMTNS"";NAECO3=""11.1.3"";NAECO2=""11.1"";NAECO2_NM=""MEDITERRANEAN CALIFORNIA"";NAECO1=""11"";ECOREPORT=""MEDITERRANEAN CALIFORNIA"";HUC2=""18"";HUC4=""1806"";HUC6=""180600"";HUC8_NM=""SANTA YNEZ"" See WSA publication EPA841-B-06-002 for description of description fields.",18060010,,,,,34.69526,-119.90915,,,,GPS-Unspecified,WGS84,643,m,,,Other,NGVD29,US,06,083,,,,,,,,,STORET
SYCEO,Santa Ynez Chumash Environmental Office (California),SYCEO-ZDC_3,Zanja_de_Cota_Creek_Mid,River/Stream,Location is representative of water quality directly below the confluence for the east and west forks of Zanja de Cota Creek; The Santa Ynez Wastewate Treatment Plant (WWTP) is located just northeast of this location.,18060010,,,,,34.6108611,-120.0942778,,,,GPS-Unspecified,NAD83,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
SYCEO,Santa Ynez Chumash Environmental Office (California),SYCEO-ZDC_5,Zanja_de_Cota_Creek_Upstream,River/Stream,Location is representative of water quality entering the Reservation; immediately south of Highway 246 culvert.,18060010,,,,,34.6161389,-120.0895277,,,,GPS-Unspecified,NAD83,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
SYCEO,Santa Ynez Chumash Environmental Office (California),SYCEO-ZDC_7,Zanja_de_Cota_Creek_Downstream,River/Stream,Location is representative of water quality leaving the Reservation,18060010,,,,,34.6001389,-120.1006389,,,,GPS-Unspecified,NAD83,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
SYCEO,Santa Ynez Chumash Environmental Office (California),SYCEO-ZDC_8,Zanja_de_Cota_Creek_Upstream_2,River/Stream,"Location is typically intermittent; when flow permits, it is representative of non-point source pollution from gas station, casino, and airport;",18060010,,,,,34.6073297,-120.0888222,,,,Interpolation - Digital Map Source,NAD83,0,ft,,,,Unknown,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-10,Zanja de Cota Creek Headwaters,River/Stream Perennial,,18060010,,,,,34.61104,-120.08624,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-3,Zanja de Cota Creek Mid-point,River/Stream Perennial,,18060010,,,,,34.6066167,-120.0898667,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-3-Dup,Zanja de Cota Creek Mid-point - Duplicate,River/Stream Perennial,,18060010,,,,,34.6066167,-120.0898667,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-5,Zanja de Cota Creek West Fork Upstream,River/Stream Perennial,,18060010,,,,,34.6096333,-120.0870333,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-5-Dup,Zanja de Cota Creek West Fork Upstream - Duplicate,River/Stream Perennial,,18060010,,,,,34.6096333,-120.0870333,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-7,Zanja de Cota Creek Downstream,River/Stream Perennial,,18060010,,,,,34.5934167,-120.0937167,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-7-Dup,Zanja de Cota Creek Downstream - Duplicate,River/Stream Perennial,,18060010,,,,,34.5934167,-120.0937167,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
SYCEO_WQX,"Santa Ynez Band of Chumash Mission Indians of the Santa Ynez Reservation, California",SYCEO_WQX-ZDC-8,Zanja de Cota Creek East Fork Upstream,River/Stream Intermittent,,18060010,,,,,34.60745,-120.0887167,,,,GPS-Unspecified,NAD83,,,,,,,US,06,083,,,,,,,,,STORET
